temperature;32;2016-01-12 12:00
temperature;34;2016-01-13 12:00
temperature;35;2016-01-14 12:00
temperature;36;2016-01-15 12:00
temperature;37;2016-01-16 12:00
temperature;38;2016-01-17 12:00
temperature;39;2016-01-18 12:00
temperature;40;2016-01-19 12:00
temperature;41;2016-01-20 12:00
temperature;42;2016-01-21 12:00
temperature;44;2016-01-22 12:00
temperature;56;2016-01-23 12:00
temperature;32;2016-01-24 12:00
temperature;34;2016-02-01 12:00
temperature;34;2016-02-02 12:00
temperature;34;2016-02-03 12:00
temperature;34;2016-02-05 12:00
temperature;34;2016-02-06 12:00
temperature;34;2016-02-07 12:00
temperature;34;2016-02-11 12:00
temperature;34;2016-02-21 12:00
temperature;34;2016-02-28 12:00
temperature;34;2016-02-02 12:00
temperature;34;2016-02-15 12:00
temperature;34;2016-02-28 12:00
temperature;34;2016-02-31 12:00
temperature;34;2016-02-12 12:00
humidity;42;2016-01-12 12:00
humidity;84;2016-01-13 12:00
humidity;75;2016-01-14 12:00
humidity;96;2016-01-15 12:00
humidity;47;2016-01-16 12:00
humidity;28;2016-01-17 12:00
humidity;19;2016-01-18 12:00
humidity;50;2016-01-19 12:00
humidity;71;2016-01-20 12:00
humidity;82;2016-01-21 12:00
humidity;94;2016-01-22 12:00
humidity;36;2016-01-23 12:00
